"","date","date","WordCount","SentimentGI","NegativityGI","PositivityGI","SentimentHE","NegativityHE","PositivityHE","SentimentLM","NegativityLM","PositivityLM","RatioUncertaintyLM","SentimentQDAP","NegativityQDAP","PositivityQDAP"
"1",2000-03-01,2000-01-01,26908,0.00438531291809127,0.00542589564441802,0.00981120856250929,0.000148654675189535,0,0.000148654675189535,-0.00040880035677122,0.000929091719934592,0.000520291363163372,0.000185818343986918,0.00141221941430058,0.00304742084138546,0.00445964025568604
"2",2000-06-01,2000-04-01,25797,0.0050781098577354,0.00682249874016358,0.011900608597899,0.000232585184323759,0,0.000232585184323759,3.87641973872931e-05,0.00124045431639338,0.00127921851378067,0.000232585184323759,0.00251967283017405,0.00379889134395472,0.00631856417412877
"3",2000-09-01,2000-07-01,28636,0.00380639754155608,0.00520324067607208,0.00900963821762816,0.000349210783628998,0,0.000349210783628998,-0.000174605391814499,0.0010127112725241,0.000838105880709596,0.000279368626903199,0.00251431764212879,0.00293337058248359,0.00544768822461238
"4",2000-12-01,2000-10-01,30787,0.00454737389157761,0.00581414233280281,0.0103615162243804,6.49624841653945e-05,0,6.49624841653945e-05,-0.000779549809984734,0.00191639328287914,0.0011368434728944,0.000227368694578881,0.00211128073537532,0.00324812420826972,0.00535940494364504
"5",2001-03-01,2001-01-01,32395,0.00493903380151258,0.00481555795647476,0.00975459175798734,0.000185213767556722,0,0.000185213767556722,-0.000524772341410712,0.00175953079178886,0.00123475845037814,0.000524772341410712,0.00280907547461028,0.00256212378453465,0.00537119925914493
"6",2001-06-01,2001-04-01,38040,0.00570452155625657,0.00499474237644585,0.0106992639327024,5.25762355415352e-05,0,5.25762355415352e-05,-0.00136698212407992,0.00286540483701367,0.00149842271293375,0.000683491062039958,0.0027602523659306,0.00307570977917981,0.00583596214511041
"7",2001-09-01,2001-07-01,39838,0.00363974095085095,0.00574828053617149,0.00938802148702244,0.000100406646920026,0,0.000100406646920026,-0.00122998142477032,0.00220894623224057,0.000978964807470254,0.000401626587680104,0.00145589638034038,0.00376524925950098,0.00522114563984136
"8",2001-12-01,2001-10-01,39455,0.00567735394753517,0.00560131795716639,0.0112786719047016,5.06906602458497e-05,5.06906602458497e-05,0.000101381320491699,-0.00121657584590039,0.00233177037130909,0.00111519452540869,0.000278798631352173,0.00266125966290711,0.00306678494487391,0.00572804460778102
"9",2002-03-01,2002-01-01,37363,0.00495142253031074,0.00422878248534647,0.0091802050156572,0,2.67644461097878e-05,2.67644461097878e-05,-0.0013114578593796,0.00179321788935578,0.00048176002997618,0.000214115568878302,0.00224821347322217,0.00222144902711238,0.00446966250033456
"10",2002-06-01,2002-04-01,40680,0.00545722713864307,0.0053834808259587,0.0108407079646018,0,0,0,-0.000712881022615536,0.00132743362831858,0.000614552605703048,0.000245821042281219,0.00253195673549656,0.00317109144542773,0.00570304818092429
"11",2002-09-01,2002-07-01,40293,0.0051621869803688,0.00506291415382324,0.010225101134192,9.92728265455538e-05,0,9.92728265455538e-05,-0.000570818752636935,0.00121609212518303,0.0006452733725461,9.92728265455538e-05,0.00270518452336634,0.00340009430918522,0.00610527883255156
"12",2002-12-01,2002-10-01,40100,0.00521197007481297,0.00486284289276808,0.010074812967581,4.98753117206983e-05,2.49376558603491e-05,7.48129675810474e-05,-0.000448877805486284,0.00129675810473815,0.00084788029925187,0.000249376558603491,0.00361596009975062,0.00276807980049875,0.00638403990024938
"13",2003-03-01,2003-01-01,33453,0.00490240038262637,0.00418497593638837,0.00908737631901474,8.96780557797507e-05,0,8.96780557797507e-05,-0.000747317131497922,0.00143484889247601,0.000687531760978089,0.000269034167339252,0.00310883926703136,0.00227184407975368,0.00538068334678504
"14",2003-06-01,2003-04-01,37640,0.00332093517534538,0.00650903294367694,0.00982996811902232,7.97024442082891e-05,2.6567481402763e-05,0.000106269925611052,-0.00026567481402763,0.00106269925611052,0.00079702444208289,0.000185972369819341,0.000690754516471839,0.00430393198724761,0.00499468650371945
"15",2003-09-01,2003-07-01,41944,0.00302784665267976,0.00586496280755293,0.00889280946023269,0.000286095746709899,0,0.000286095746709899,-0.000429143620064848,0.00143047873354949,0.00100133511348465,0.000357619683387374,0.00154968529467862,0.00398149914171276,0.00553118443639138
"16",2003-12-01,2003-10-01,41944,0.00302784665267976,0.00586496280755293,0.00889280946023269,0.000286095746709899,0,0.000286095746709899,-0.000429143620064848,0.00143047873354949,0.00100133511348465,0.000357619683387374,0.00154968529467862,0.00398149914171276,0.00553118443639138
"17",2004-03-01,2004-01-01,42861,0.0057161522129675,0.00454959053685168,0.0102657427498192,0.000233312335223163,0,0.000233312335223163,6.9993700566949e-05,0.000956580574414969,0.00102657427498192,0.000303306035790112,0.00380299106413756,0.00254310445393248,0.00634609551807004
"18",2004-06-01,2004-04-01,41756,0.00548424178561165,0.00469393620078552,0.0101781779863972,0.000167640578599483,0,0.000167640578599483,0.000239486540856404,0.00102979212568254,0.00126927866653894,0.000263435194942044,0.00306542772296197,0.00320911964747581,0.00627454737043778
"19",2004-09-01,2004-07-01,43731,0.00427614278200819,0.00576250257254579,0.010038645354554,0.000343006105508678,0,0.000343006105508678,0.000137202442203471,0.00107475246392719,0.00121195490613066,0.000411607326610414,0.00272118177036885,0.00322425739178157,0.00594543916215042
"20",2004-12-01,2004-10-01,44124,0.00586982141238328,0.00500861209319191,0.0108784335055752,0.00058924848155199,2.2663403136615e-05,0.000611911884688605,0.000203970628229535,0.00113317015683075,0.00133714078506028,0.00013598041881969,0.00396609554890762,0.00240232073248119,0.00636841628138881
